rev,n,total,mean,sd
e75b8a7,3080,7610,2.47,1.76
23a6280,3092,7649,2.47,1.76
8991100,3100,7658,2.47,1.76
8373871,3101,7658,2.47,1.76
fa1183f,3101,7658,2.47,1.76
5068b8e,3101,7658,2.47,1.76
5671de5,3105,7667,2.47,1.76
16d11f8,3105,7667,2.47,1.76
ad2a9ef,3165,7786,2.46,1.75
7f10972,3165,7786,2.46,1.75
4ad49a0,3165,7786,2.46,1.75
8e30a2b,3168,7790,2.46,1.75
4e434f6,3170,7794,2.46,1.75
4204f2c,3168,7780,2.46,1.74
41397f2,3169,7788,2.46,1.75
12c7ab9,3159,7776,2.46,1.74
7b9b9b3,3163,7786,2.46,1.74
e7b188c,3174,7819,2.46,1.74
7976e23,3174,7819,2.46,1.74
9ab9240,3174,7819,2.46,1.74
4d68ddf,3175,7819,2.46,1.74
2725a7d,3177,7825,2.46,1.74
0e2fd9f,3176,7822,2.46,1.74
3335710,3215,7951,2.47,1.74
8515ce1,3215,7951,2.47,1.74
394458f,3220,7961,2.47,1.74
42f3422,3219,7958,2.47,1.74
fbdca39,3217,7951,2.47,1.74
b5457f3,3231,8025,2.48,1.74
d184cb3,3247,8072,2.49,1.75
cf921df,3249,8082,2.49,1.75
377c300,3243,7873,2.43,1.65
04fe849,3280,7951,2.42,1.64
9030fa0,3276,7919,2.42,1.64
8c95a60,3290,7950,2.42,1.64
14993a4,3308,7991,2.42,1.63
a03d44f,3309,7993,2.42,1.63
5ea40ce,3319,8022,2.42,1.63
1825a47,3317,8022,2.42,1.63
580a713,3335,8072,2.42,1.63
