entity,coupled,degree,average-revs
hibernate-ehcache/hibernate-ehcache.gradle,hibernate-proxool/hibernate-proxool.gradle,100,5
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,95,11
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,90,11
hibernate-c3p0/hibernate-c3p0.gradle,hibernate-ehcache/hibernate-ehcache.gradle,90,6
hibernate-c3p0/hibernate-c3p0.gradle,hibernate-proxool/hibernate-proxool.gradle,90,6
hibernate-core/src/main/java/org/hibernate/dialect/unique/DefaultUniqueDelegate.java,hibernate-core/src/main/java/org/hibernate/dialect/unique/UniqueDelegate.java,87,8
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,86,12
hibernate-core/src/main/java/org/hibernate/cfg/Settings.java,hibernate-core/src/main/java/org/hibernate/cfg/SettingsFactory.java,85,7
hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/strategy/ValidityAuditStrategyRevEndTestCustomRevEnt.java,hibernate-envers/src/matrix/java/org/hibernate/envers/test/integration/strategy/ValidityAuditStrategyRevEndTsTest.java,83,6
hibernate-core/src/main/java/org/hibernate/procedure/ProcedureCall.java,hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallImpl.java,83,6
hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdOnSingleManyToOneTest.java,hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdTest.java,83,6
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java,hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiSessionFactoryService.java,75,8
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,70,9
hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,66,9
hibernate-entitymanager/hibernate-entitymanager.gradle,hibernate-envers/hibernate-envers.gradle,64,14
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/StoredProcedureQueryImpl.java,hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/BaseQueryImpl.java,63,10
hibernate-core/src/test/java/org/hibernate/test/sql/storedproc/StoredProcedureTest.java,hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/StoredProcedureQueryImpl.java,63,10
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,63,10
hibernate-core/src/main/java/org/hibernate/collection/internal/AbstractPersistentCollection.java,hibernate-core/src/main/java/org/hibernate/proxy/AbstractLazyInitializer.java,62,8
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,60,10
