entity,soc
hibernate-core/src/main/java/org/hibernate/persister/entity/AbstractEntityPersister.java,360
hibernate-core/src/main/java/org/hibernate/internal/SessionFactoryImpl.java,285
hibernate-core/src/main/java/org/hibernate/internal/SessionImpl.java,271
hibernate-core/src/main/java/org/hibernate/cfg/Configuration.java,271
hibernate-core/src/main/java/org/hibernate/cfg/AnnotationBinder.java,250
hibernate-core/src/main/java/org/hibernate/cfg/AvailableSettings.java,249
hibernate-core/src/main/java/org/hibernate/dialect/Dialect.java,238
build.gradle,219
hibernate-core/src/main/java/org/hibernate/engine/internal/StatefulPersistenceContext.java,206
hibernate-core/hibernate-core.gradle,205
hibernate-core/src/main/java/org/hibernate/cfg/annotations/CollectionBinder.java,195
hibernate-core/src/main/java/org/hibernate/internal/AbstractSessionImpl.java,193
hibernate-core/src/test/java/org/hibernate/test/cfg/persister/GoofyPersisterClassProvider.java,191
hibernate-core/src/test/java/org/hibernate/test/legacy/CustomPersister.java,189
hibernate-core/src/main/java/org/hibernate/loader/Loader.java,178
hibernate-core/src/main/java/org/hibernate/cfg/HbmBinder.java,175
hibernate-core/src/main/java/org/hibernate/persister/entity/EntityPersister.java,170
hibernate-core/src/main/java/org/hibernate/internal/CoreMessageLogger.java,148
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultResolveNaturalIdEventListener.java,145
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/StoredProcedureQueryImpl.java,143
hibernate-infinispan/src/main/java/org/hibernate/cache/infinispan/InfinispanRegionFactory.java,135
hibernate-core/src/main/java/org/hibernate/persister/collection/AbstractCollectionPersister.java,128
hibernate-entitymanager/src/main/java/org/hibernate/jpa/spi/AbstractEntityManagerImpl.java,126
hibernate-core/src/main/java/org/hibernate/cfg/SettingsFactory.java,125
hibernate-entitymanager/src/main/java/org/hibernate/jpa/HibernatePersistenceProvider.java,122
hibernate-core/src/main/java/org/hibernate/cfg/annotations/EntityBinder.java,115
hibernate-entitymanager/hibernate-entitymanager.gradle,113
hibernate-core/src/main/java/org/hibernate/tuple/entity/EntityMetamodel.java,113
hibernate-core/src/main/java/org/hibernate/engine/spi/PersistenceContext.java,111
hibernate-core/src/main/java/org/hibernate/hql/internal/classic/QueryTranslatorImpl.java,109
hibernate-entitymanager/src/test/java/org/hibernate/ejb/test/ejb3configuration/PersisterClassProviderTest.java,106
hibernate-entitymanager/src/main/java/org/hibernate/jpa/boot/internal/EntityManagerFactoryBuilderImpl.java,106
hibernate-core/src/main/java/org/hibernate/mapping/Collection.java,106
hibernate-core/src/main/java/org/hibernate/hql/internal/ast/QueryTranslatorImpl.java,105
hibernate-envers/hibernate-envers.gradle,103
hibernate-core/src/main/java/org/hibernate/cfg/Settings.java,102
hibernate-core/src/main/java/org/hibernate/SharedSessionContract.java,101
hibernate-osgi/hibernate-osgi.gradle,100
hibernate-core/src/main/java/org/hibernate/mapping/Table.java,98
hibernate-core/src/main/java/org/hibernate/boot/registry/selector/internal/StrategySelectorBuilder.java,98
libraries.gradle,96
hibernate-core/src/main/java/org/hibernate/loader/hql/QueryLoader.java,96
hibernate-core/src/main/java/org/hibernate/action/internal/EntityInsertAction.java,96
hibernate-core/src/main/java/org/hibernate/engine/spi/SessionFactoryImplementor.java,94
hibernate-core/src/main/java/org/hibernate/dialect/Oracle8iDialect.java,93
hibernate-core/src/main/java/org/hibernate/mapping/PersistentClass.java,89
hibernate-entitymanager/src/main/java/org/hibernate/jpa/AvailableSettings.java,87
hibernate-core/src/test/java/org/hibernate/test/sql/storedproc/StoredProcedureTest.java,86
hibernate-core/src/main/java/org/hibernate/engine/internal/TwoPhaseLoad.java,86
hibernate-entitymanager/src/main/java/org/hibernate/ejb/EntityManagerFactoryImpl.java,84
hibernate-core/src/main/java/org/hibernate/loader/plan/spi/CompositeFetch.java,84
hibernate-infinispan/hibernate-infinispan.gradle,82
hibernate-core/src/main/java/org/hibernate/procedure/internal/AbstractParameterRegistrationImpl.java,82
hibernate-core/src/main/java/org/hibernate/engine/spi/EntityEntry.java,82
hibernate-osgi/src/main/java/org/hibernate/osgi/HibernateBundleActivator.java,80
hibernate-core/src/main/java/org/hibernate/cache/spi/NaturalIdCacheKey.java,80
hibernate-core/src/main/java/org/hibernate/procedure/internal/ProcedureCallImpl.java,79
hibernate-core/src/main/java/org/hibernate/persister/collection/OneToManyPersister.java,79
hibernate-core/src/main/java/org/hibernate/loader/custom/CustomLoader.java,79
hibernate-core/src/main/java/org/hibernate/collection/internal/AbstractPersistentCollection.java,78
hibernate-core/src/main/java/org/hibernate/cfg/annotations/QueryBinder.java,78
hibernate-core/src/main/java/org/hibernate/boot/registry/BootstrapServiceRegistryBuilder.java,78
hibernate-core/src/main/java/org/hibernate/event/internal/DefaultFlushEntityEventListener.java,77
hibernate-core/src/main/java/org/hibernate/cfg/annotations/SimpleValueBinder.java,77
hibernate-core/src/test/java/org/hibernate/test/annotations/embeddables/EmbeddableIntegratorTest.java,75
hibernate-core/src/main/java/org/hibernate/event/internal/AbstractSaveEventListener.java,75
hibernate-core/src/main/java/org/hibernate/procedure/internal/PositionalParameterRegistration.java,74
hibernate-core/src/main/java/org/hibernate/procedure/internal/NamedParameterRegistration.java,74
hibernate-core/src/main/java/org/hibernate/persister/collection/BasicCollectionPersister.java,74
hibernate-core/src/main/java/org/hibernate/cfg/Mappings.java,74
documentation/src/main/docbook/devguide/en-US/Hibernate_Development_Guide.xml,74
hibernate-core/src/main/java/org/hibernate/loader/plan/internal/LoadPlanBuildingHelper.java,73
hibernate-core/src/main/java/org/hibernate/cache/internal/RegionFactoryInitiator.java,73
documentation/src/main/docbook/devguide/en-US/Envers.xml,73
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiPersistenceProvider.java,72
hibernate-core/src/main/java/org/hibernate/persister/entity/JoinedSubclassEntityPersister.java,72
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/EntityManagerFactoryImpl.java,71
hibernate-core/src/main/java/org/hibernate/engine/internal/NaturalIdXrefDelegate.java,71
hibernate-core/src/main/java/org/hibernate/cfg/BinderHelper.java,71
hibernate-osgi/src/main/java/org/hibernate/osgi/OsgiClassLoader.java,70
hibernate-core/src/main/java/org/hibernate/mapping/SimpleValue.java,70
hibernate-core/src/matrix/java/org/hibernate/test/annotations/naturalid/NaturalIdTest.java,68
hibernate-core/src/main/java/org/hibernate/engine/loading/internal/CollectionLoadContext.java,68
hibernate-core/src/main/resources/org/hibernate/hibernate-mapping-4.0.xsd,67
hibernate-core/src/main/antlr/hql.g,66
hibernate-c3p0/hibernate-c3p0.gradle,65
hibernate-envers/src/main/java/org/hibernate/envers/query/impl/EntitiesAtRevisionQuery.java,64
hibernate-entitymanager/src/main/java/org/hibernate/jpa/internal/schemagen/JpaSchemaGenerator.java,64
hibernate-entitymanager/src/main/java/org/hibernate/jpa/graph/internal/advisor/AdviceHelper.java,64
